SampleID,Sequencing_Set,16S_18S,Project,Location,Site,Exp_Day,Type_1,Type_2,Type_3,Form,pH,Volume,DNA_conc,Nep_Sar,DNAext_set
24Gtp.48,2,both,Experiment,Tom_Swamp,24,48,tube,Tube,glasstube-prey,squat,4.75,NA,11.2,Gtp,NA
24Na.48,2,both,Experiment,Tom_Swamp,24,48,pitcher,Nepenthes,ampullaria,squat,7,NA,2.988,Nep_exp,NA
24Nb.48,2,both,Experiment,Tom_Swamp,24,48,pitcher,Nepenthes,bicalcarata,squat,4.75,NA,0.826,Nep_exp,NA
24Nr.48,2,both,Experiment,Tom_Swamp,24,48,pitcher,Nepenthes,rafflesiana,squat,3.5,NA,4.214,Nep_exp,NA
24Spb.48,2,both,Experiment,Tom_Swamp,24,48,pitcher,Sarracenia,purpurea-bog,squat,6.5,NA,1.386,Sar_exp,NA
25Bog.48,2,both,Experiment,Tom_Swamp,25,48,envmt,Bog,bog,NA,4.5,NA,1.71,Other,NA
25Gt.48,2,both,Experiment,Tom_Swamp,25,48,tube,Tube,glasstube,squat,5.5,NA,23.9,Gt,NA
25Gtp.48,2,both,Experiment,Tom_Swamp,25,48,tube,Tube,glasstube-prey,squat,5,NA,16.7,Gtp,NA
25Na.r.48,2,both,Experiment,Tom_Swamp,25,48,pitcher,Nepenthes,ampullaria,squat,4.75,NA,0.717,Nep_exp,NA
25Na.y.48,2,both,Experiment,Tom_Swamp,25,48,pitcher,Nepenthes,ampullaria,squat,4.75,NA,1.402,Nep_exp,NA
25Nb.48,2,both,Experiment,Tom_Swamp,25,48,pitcher,Nepenthes,bicalcarata,squat,4.75,NA,8.24,Nep_exp,NA
25Spb.48,2,both,Experiment,Tom_Swamp,25,48,pitcher,Sarracenia,purpurea-bog,squat,4.75,NA,1.385,Sar_exp,NA
26Bog.48,2,both,Experiment,Tom_Swamp,26,48,envmt,Bog,bog,NA,4.75,NA,0.226,Other,NA
26Gt.48,2,16S,Experiment,Tom_Swamp,26,48,tube,Tube,glasstube,squat,4.75,NA,2.61,Gt,NA
26Gtp.48,2,both,Experiment,Tom_Swamp,26,48,tube,Tube,glasstube-prey,squat,4.75,NA,10.4,Gtp,NA
26Na.r.48,2,both,Experiment,Tom_Swamp,26,48,pitcher,Nepenthes,ampullaria,squat,4.75,NA,0.81,Nep_exp,NA
26Na.y.48,2,both,Experiment,Tom_Swamp,26,48,pitcher,Nepenthes,ampullaria,squat,6.5,NA,1.127,Nep_exp,NA
26Nb.15,2,both,Experiment,Tom_Swamp,26,15,pitcher,Nepenthes,bicalcarata,squat,4.75,NA,0.29,Nep_exp,NA
26Spb.48,2,both,Experiment,Tom_Swamp,26,48,pitcher,Sarracenia,purpurea-bog,squat,6.5,NA,0.867,Sar_exp,NA
9Ng.21,2,both,Experiment,Tom_Swamp,9,21,pitcher,Nepenthes,gracilis,squat,3,NA,0.159,Nep_exp,NA
9Nr.21,2,16S,Experiment,Tom_Swamp,9,21,pitcher,Nepenthes,rafflesiana,squat,2,NA,0.638,Nep_exp,NA
9Spp.21,2,both,Experiment,Tom_Swamp,9,21,pitcher,Sarracenia,purpurea-pot,squat,6,NA,0.926,Sar_exp,NA
Bog01,1,both,Comparison,Singapore,BTNP,NA,envmt,Bog,bog,NA,NA,NA,0.27472,Soil_Bog,NA
BogBF01,2,18S,Comparison,Gulf_Coast,BF,NA,envmt,Bog,bog,NA,5.25,7.5,1.09,Soil_Bog,NA
BogBF03,2,both,Comparison,Gulf_Coast,BF,NA,envmt,Bog,bog,NA,5,7.2,0.41,Soil_Bog,NA
BogBF04,2,16S,Comparison,Gulf_Coast,BF,NA,envmt,Bog,bog,NA,5.25,7.6,0.506,Soil_Bog,NA
BogBW02,2,16S,Comparison,Gulf_Coast,BW,NA,envmt,Bog,bog,NA,4.75,7.5,3.166,Soil_Bog,Yes
BogBW03,2,both,Comparison,Gulf_Coast,BW,NA,envmt,Bog,bog,NA,4.75,7,2.102,Soil_Bog,Yes
BogBW04,2,both,Comparison,Gulf_Coast,BW,NA,envmt,Bog,bog,NA,5,7.2,1.53,Soil_Bog,NA
BogBW05,2,both,Comparison,Gulf_Coast,BW,NA,envmt,Bog,bog,NA,4.75,7.5,2.92,Soil_Bog,NA
BogEB02,2,both,Comparison,Gulf_Coast,EB1,NA,envmt,Bog,bog,NA,5,7.2,0.54,Soil_Bog,NA
BogEB04,2,18S,Comparison,Gulf_Coast,EB1,NA,envmt,Bog,bog,NA,4.75,7.5,3.51,Soil_Bog,NA
BogNP01,2,both,Comparison,Gulf_Coast,NP,NA,envmt,Bog,bog,NA,5,7.5,2.81,Soil_Bog,NA
BogNP02,2,both,Comparison,Gulf_Coast,NP,NA,envmt,Bog,bog,NA,5,7.5,1.37,Soil_Bog,NA
BogOFB01,2,both,Comparison,Gulf_Coast,OFB,NA,envmt,Bog,bog,NA,5,7.5,1.45,Soil_Bog,NA
BogSHB01,2,16S,Comparison,Gulf_Coast,SH,NA,envmt,Bog,bog,NA,4.75,7.3,3.38,Soil_Bog,NA
BogSHB02,2,both,Comparison,Gulf_Coast,SH,NA,envmt,Bog,bog,NA,5,7.7,0.825,Soil_Bog,NA
BogSHB03,2,both,Comparison,Gulf_Coast,SH,NA,envmt,Bog,bog,NA,4.75,7.5,8.48,Soil_Bog,NA
BogSHB04,2,both,Comparison,Gulf_Coast,SH,NA,envmt,Bog,bog,NA,4.5,7.3,8.93,Soil_Bog,NA
BogSHB05,2,both,Comparison,Gulf_Coast,SH,NA,envmt,Bog,bog,NA,4.75,7.4,2.586,Soil_Bog,Yes
BogSHB06,2,both,Comparison,Gulf_Coast,SH,NA,envmt,Bog,bog,NA,4.75,7.6,4.561,Soil_Bog,Yes
BogSHB07,2,both,Comparison,Gulf_Coast,SH,NA,envmt,Bog,bog,NA,4.75,7,8.61,Soil_Bog,NA
BogTS03,2,18S,Comparison,H_Forest,TS,NA,envmt,Bog,bog,NA,4.5,7,0.643,Soil_Bog,NA
BogWB01,2,both,Comparison,Gulf_Coast,WB,NA,envmt,Bog,bog,NA,5,7.7,1.058,Soil_Bog,Yes
L01,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Leaf,leaf,NA,4.5,4,4.43,Other,NA
L02,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Leaf,leaf,NA,4.5,4.5,0.443,Other,NA
L03,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Leaf,leaf,NA,4.75,3.3,1.08,Other,NA
L04,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Leaf,leaf,NA,4.75,0.9,0.491,Other,NA
L05,2,16S,Comparison,Maliau_Basin,NG,NA,envmt,Leaf,leaf,NA,5,13,0.13,Other,NA
L06,2,18S,Comparison,Maliau_Basin,NG,NA,envmt,Leaf,leaf,NA,4.75,1.8,0.236,Other,NA
L07,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Leaf,leaf,NA,4.75,3.1,1.14,Other,NA
L09,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Leaf,leaf,NA,4.75,2,8.97,Other,NA
L10,2,both,Comparison,Maliau_Basin,NG,NA,envmt,Leaf,leaf,NA,4.75,2.4,2.49,Other,NA
Lw03,1,both,Comparison,Singapore,BTNP,NA,envmt,Leaf,leaf,NA,NA,NA,0.21512,Other,NA
MB01,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,2,0.9,6.7,Nep_nat,NA
MB03,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,5,40,6.033,Nep_nat,Yes
MB04,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,4.75,45,23.7,Nep_nat,NA
MB05,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,3.5,18,1.449,Nep_nat,Yes
MB06,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,4,500,6.91,Nep_nat,NA
MB07,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,5,2.9,1.78,Nep_nat,Yes
MB08,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,4.75,8.2,9.19,Nep_nat,NA
MB09,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,4.75,5,3.011,Nep_nat,Yes
MB10,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,5,5.6,1.193,Nep_nat,Yes
MB11,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,4.5,6.4,10.6,Nep_nat,NA
MB12,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,4.5,13.3,1.013,Nep_nat,Yes
MB13,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,3.5,6.5,19.6,Nep_nat,NA
MB15,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,2,11.6,37.8,Nep_nat,NA
MB16,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,2,5.8,25.376,Nep_nat,Yes
MB18,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,1.75,7.3,20.2,Nep_nat,NA
MB19,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,4.75,100,13.7,Nep_nat,NA
MB20,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,2,25,8.03,Nep_nat,NA
MB21,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,4.75,20,39.6,Nep_nat,NA
MB22,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,3.5,150,57.8,Nep_nat,NA
MB23,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,5,5.4,35.5,Nep_nat,NA
MB24,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,4.75,150,18.8,Nep_nat,NA
MB25,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,2,22,1.567,Nep_nat,Yes
MB26,2,16S,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,4.75,18,1.437,Nep_nat,Yes
MB27,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,1.75,20,30.8,Nep_nat,NA
MB28,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,7,26,1.035,Nep_nat,Yes
MB29,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,5,19,1.832,Nep_nat,Yes
MB30,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,4,34,61.9,Nep_nat,NA
MB33,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,2,28,8.18,Nep_nat,NA
MB34,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,1.5,1.3,8.8,Nep_nat,NA
MB35,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,2,4,39.2,Nep_nat,NA
MB36,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,4.5,70,62,Nep_nat,NA
MB37,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,4.5,500,7.55,Nep_nat,NA
MB38,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,3.75,55,1.121,Nep_nat,Yes
MB39,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,1.5,45,18.3,Nep_nat,NA
MB40,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,3,75,3.454,Nep_nat,Yes
MB42,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,5,120,17.2,Nep_nat,NA
MB44,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,4.25,100,38.7,Nep_nat,NA
MB45,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,5.25,5.5,1.38,Nep_nat,Yes
MB46,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,1.5,9.6,24.1,Nep_nat,NA
MB49,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,veitchii,squat,3.5,500,71.6,Nep_nat,NA
MB50,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,tentaculata,squat,5,7,14.8,Nep_nat,NA
MB51,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,tentaculata,squat,4.75,5.2,7.53,Nep_nat,NA
MB52,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,tentaculata,squat,5,1.7,30,Nep_nat,NA
MB53,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,tentaculata,squat,7.5,1.4,21.8,Nep_nat,NA
MB54,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,tentaculata,squat,7.5,0.7,6.43,Nep_nat,NA
MB55,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,tentaculata,squat,4.5,3.1,14.4,Nep_nat,NA
MB56,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,tentaculata,squat,5,1.5,7,Nep_nat,NA
MB57,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,tentaculata,squat,4,1.7,10.2,Nep_nat,NA
MB58,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,2,18,5.25,Nep_nat,NA
MB59,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,5,8.1,7.39,Nep_nat,NA
MB60,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,1.75,2.6,25.8,Nep_nat,NA
MB61,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,5,8,65.7,Nep_nat,NA
MB62,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,5,8,0.688,Nep_nat,NA
MB63,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,5,6.8,2.68,Nep_nat,NA
MB64,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,5,4.9,1.779,Nep_nat,Yes
MB65,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,5,2.6,3.653,Nep_nat,NA
MB66,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,5,4.9,3.945,Nep_nat,Yes
MB67,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,4.75,2.5,10.392,Nep_nat,NA
MB68,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,5,2.1,14.988,Nep_nat,Yes
MB69,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,5.5,6.1,21.819,Nep_nat,Yes
MB70,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,4.75,8.2,5.873,Nep_nat,NA
MB71,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,4.75,1.5,5.77,Nep_nat,NA
MB72,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,5,8.9,3.07,Nep_nat,NA
MB73,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,5,1.5,2.112,Nep_nat,Yes
MB74,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,4.5,12.5,3.4,Nep_nat,Yes
MB75,2,16S,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,7,2.5,1.069,Nep_nat,Yes
MB76,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,hirsuta,squat,5,4.3,2.437,Nep_nat,Yes
MB77,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,5,5.7,4.43,Nep_nat,NA
MB78,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,5,5.2,6.607,Nep_nat,NA
MB79,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,5,2,3.073,Nep_nat,NA
MB80,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,5,8.4,1.665,Nep_nat,Yes
MB81,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,4.75,5.7,1.528,Nep_nat,Yes
MB82,2,16S,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,4,8.9,2.73,Nep_nat,NA
MB83,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,reinwardtiana,squat,5,10,1.088,Nep_nat,Yes
MB84,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,5.5,25,3.512,Nep_nat,NA
MB85,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,1.75,10.6,1.095,Nep_nat,Yes
MB86,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,2,4.9,2.02,Nep_nat,Yes
MB87,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,5,35,2.88,Nep_nat,NA
MB88,2,both,Comparison,Maliau_Basin,NG,NA,pitcher,Nepenthes,stenophylla,squat,1.5,1.4,3.302,Nep_nat,Yes
N01A,1,16S,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,7.79804,Nep_nat,NA
N01B,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,gracilis,squat,NA,NA,1.62936,Nep_nat,NA
N02A,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,NA,NA,38.47792,Nep_nat,NA
N02B,1,both,Comparison,Singapore,BTNP,NA,pitcher,Nepenthes,ampullaria,squat,NA,NA,4.47108,Nep_nat,NA
